NAME,UID,COURSE
Bella Brown,u0000022,MGMT0155 BIOL0221 CHEM0248 BIOL0401 BIOL0088 BUSN0208 HIST0177 BUSN0366 COMP0290 ENGN0418 CHEM0375 CHEM0206 MATH0225 ENGN0223 CHEM0462 COMP0320 CBEA0142
Ariana Johnson,u0000023,CHEM0350 CBEA0423 MGMT0024 BIOL0005 PHYS0137 BUSN0227 CHEM0369 ENGN0085 CHEM0080 MATH0023 COMP0242 MATH0069
Ellie Brown,u0000024,CHEM0084 ENGN0135 LAWS0094 MATH0057 BUSN0240 ENGN0419 MATH0140 CHEM0056 CHEM0402 MATH0278
Arielle Davis,u0000025,HIST0224 ENGN0055 LAWS0397 BIOL0463 MGMT0107 ENGN0104 BUSN0407 PHYS0211 BUSN0335 ENGN0173 BIOL0073 HIST0128 BUSN0008
Genesis Taylor,u0000026,CBEA0018 CBEA0423 MATH0020 PHYS0027 LAWS0264 CHEM0467 BUSN0166 CBEA0239 BUSN0066 COMP0147 COMP0151 CHEM0056 CBEA0331 COMP0105 HIST0263 CBEA0142
Kayla Miller,u0000027,CBEA0423 ENGN0470 HIST0126 CHEM0046 BUSN0366 CHEM0469 CHEM0489 CBEA0239 MGMT0209 MATH0119 LAWS0154 BIOL0265
Skylar Johnson,u0000028,ENGN0379 HIST0449 CBEA0262 PHYS0495 BUSN0259 CBEA0326 MGMT0014 MGMT0232 MATH0032 MATH0244 LAWS0333 CBEA0500 PHYS0137 CHEM0139 CBEA0200 LAWS0385 BUSN0425 MGMT0215 BIOL0283
Ximena Moore,u0000029,COMP0203 PHYS0292 MATH0149 MGMT0215 MGMT0107 HIST0449 HIST0216 CBEA0231 COMP0129 LAWS0386 CHEM0317
Camila Johnson,u0000030,MGMT0024 PHYS0071 CBEA0018 PHYS0090 BUSN0289 HIST0360 CHEM0441 CBEA0300 ENGN0230 CHEM0317 ENGN0470 HIST0485 LAWS0393 HIST0188 HIST0376 PHYS0395 ENGN0346 MGMT0284 COMP0187
Ivy Taylor,u0000031,MGMT0061 LAWS0144 HIST0406 HIST0012 HIST0253 ENGN0418 MATH0051 COMP0108 PHYS0211 ENGN0134 CHEM0433 MATH0178 PHYS0071
Valeria Smith,u0000032,CBEA0018 MATH0032 ENGN0135 HIST0078 ENGN0055 MATH0370 HIST0360 BIOL0438 ENGN0419 CBEA0300 LAWS0154 CHEM0467 CHEM0220
Ivy Brown,u0000033,BIOL0016 CBEA0201 HIST0177 CHEM0025 ENGN0344 MATH0032 ENGN0192 COMP0352 CHEM0046 CBEA0500 MATH0210 CHEM0312 LAWS0154 HIST0128 PHYS0213 BIOL0221 MGMT0345 CBEA0297 BIOL0073 BIOL0250 ENGN0173
Olivia Johnson,u0000034,CHEM0025 COMP0129 BUSN0101 MATH0370 HIST0360 CHEM0441 CBEA0102 PHYS0410 CHEM0317 CHEM0217 PHYS0001 BUSN0058 CBEA0123 BIOL0488 PHYS0213 MATH0059 CHEM0319 BIOL0250 MATH0298
Riley Smith,u0000035,BUSN0205 BIOL0315 BUSN0277 PHYS0137 PHYS0363 CHEM0477 COMP0493 ENGN0085 MATH0210 CHEM0389 LAWS0228 ENGN0418 HIST0070 BUSN0043 ENGN0230
Lucy Johnson,u0000036,PHYS0295 LAWS0117 ENGN0309 MGMT0484 PHYS0363 COMP0372 MATH0280 BUSN0240 BIOL0338 LAWS0386 LAWS0254 ENGN0399 BUSN0339 BIOL0488 HIST0224 MATH0373 COMP0242 CBEA0331 MATH0069
Bella Taylor,u0000037,CHEM0472 COMP0493 BIOL0145 ENGN0272 MATH0023 CBEA0186 CHEM0489 PHYS0180 CBEA0307
Natalie Rodriguez,u0000038,ENGN0135 MGMT0155 HIST0432 CHEM0389 CHEM0080 HIST0012 HIST0360 LAWS0451 BUSN0291 MATH0178 MATH0091 CBEA0310 BIOL0250 CBEA0038
Aubree Miller,u0000039,ENGN0050 BUSN0166 COMP0474 CBEA0424 BIOL0265 ENGN0435 MGMT0296 HIST0189 HIST0355 CBEA0500 CBEA0300 BUSN0400 LAWS0393 CHEM0133 CBEA0293 LAWS0197 CHEM0480 HIST0365 CBEA0294 CBEA0331
Katherine Davis,u0000040,BIOL0315 CHEM0269 ENGN0313 CHEM0437 ENGN0426 MGMT0453 BUSN0454 COMP0147 PHYS0251 LAWS0154 COMP0320 ENGN0223
Brooklyn Rodriguez,u0000041,COMP0343 MATH0210 ENGN0266 CHEM0389 MATH0023 BUSN0240 CHEM0190 CBEA0297 MGMT0014 CBEA0307 LAWS0154 HIST0404 ENGN0329
Annabelle Wilson,u0000042,MATH0032 CBEA0245 MGMT0358 COMP0356 LAWS0117 HIST0414 CBEA0065 MATH0023 MATH0225 COMP0179 COMP0187
Hannah Brown,u0000043,LAWS0095 MGMT0209 HIST0432 COMP0352 COMP0372 BUSN0490 HIST0360 HIST0189 CBEA0102 LAWS0063 COMP0234 HIST0188 CHEM0319 ENGN0272 CHEM0440 BIOL0184 ENGN0426 BUSN0099 BIOL0255 BUSN0031 MATH0164 MGMT0302
Mary Davis,u0000044,MGMT0198 BUSN0318 CHEM0472 CBEA0408 COMP0496 CHEM0013 HIST0012 CHEM0222 MGMT0420 BUSN0366 PHYS0211 PHYS0495 MGMT0270 LAWS0226 CHEM0443
Elizabeth Taylor,u0000045,ENGN0192 COMP0493 MGMT0274 ENGN0266 COMP0479 ENGN0377 HIST0189 PHYS0028 COMP0179 BIOL0115 CBEA0102 COMP0242
Eleanor Moore,u0000046,BIOL0016 MGMT0332 COMP0136 CBEA0359 HIST0365 MGMT0468 BIOL0052 HIST0177 COMP0390 CHEM0469 MGMT0157 HIST0243 MGMT0209 CBEA0231 CHEM0056 CHEM0375 ENGN0445 ENGN0173
Stella Taylor,u0000047,BIOL0401 BIOL0286 MATH0022 HIST0177 COMP0478 PHYS0271 MATH0068 MGMT0232
Sofia Jones,u0000048,CHEM0269 MATH0212 HIST0334 BIOL0268 LAWS0393 HIST0237 PHYS0383 MGMT0157 PHYS0006 BUSN0098 CHEM0375 CBEA0364 BIOL0488 BUSN0380
Harper Johnson,u0000049,BIOL0109 CBEA0423 ENGN0379 MGMT0358 LAWS0397 CBEA0162 BUSN0208 ENGN0152 HIST0177 BUSN0043 BIOL0219 PHYS0446 HIST0128 MGMT0007
Annabelle Miller,u0000050,MATH0308 BUSN0205 CHEM0248 PHYS0090 ENGN0055 MATH0212 COMP0352 ENGN0378 ENGN0085 BIOL0096 COMP0235 ENGN0104 MATH0057 HIST0355 BUSN0098 MATH0150 CBEA0316 MATH0059
Katherine Wilson,u0000051,PHYS0410 CHEM0084 CBEA0245 BUSN0396 CBEA0162 BIOL0463 PHYS0314 MATH0342 BUSN0497 MATH0023 ENGN0223 BUSN0101 LAWS0154 MATH0278 LAWS0427
Alice Wilson,u0000052,BIOL0401 PHYS0027 CBEA0201 HIST0376 HIST0485 MGMT0464 MATH0057 BUSN0166 CBEA0239 BUSN0374 MGMT0044 PHYS0398 CBEA0424 CBEA0169 ENGN0173 ENGN0435 ENGN0391 MATH0079
Abigail Brown,u0000053,MGMT0233 COMP0352 HIST0158 LAWS0094 MATH0370 MATH0357 BUSN0163 ENGN0387 CBEA0231 CBEA0307 MATH0150 BIOL0305 MATH0059
Evelyn Martinez,u0000054,CBEA0018 CBEA0245 CHEM0269 CHEM0349 BIOL0175 MATH0087 MATH0149 PHYS0015 LAWS0009 ENGN0442 PHYS0383 HIST0121 MATH0450 CBEA0182 ENGN0138 LAWS0427 HIST0243 MATH0059
Khloe Rodriguez,u0000055,BIOL0016 HIST0158 ENGN0379 MATH0422 MATH0156 BIOL0184 ENGN0104 CBEA0262 MGMT0434 COMP0151 MGMT0232 CBEA0169 HIST0128 CBEA0331 MATH0059
Liliana Brown,u0000056,LAWS0171 LAWS0397 MATH0022 MGMT0215 MGMT0107 HIST0012 BIOL0052 BUSN0240 COMP0108 CHEM0469 PHYS0446 BIOL0073 COMP0242 HIST0176
London Wilson,u0000057,BIOL0016 COMP0493 HIST0110 MATH0062 COMP0347 HIST0360 PHYS0383 CHEM0371 BUSN0098 COMP0151 COMP0179 CBEA0282 MGMT0284 MATH0150 PHYS0279
Valentina Garcia,u0000058,COMP0343 HIST0110 ENGN0010 ENGN0185 CHEM0207 PHYS0314 ENGN0152 ENGN0050 ENGN0377 LAWS0385 COMP0290 ENGN0418 BUSN0043 LAWS0075 BIOL0219 CHEM0035
Allison Davis,u0000059,MGMT0322 MGMT0332 HIST0485 ENGN0185 HIST0376 MATH0053 MATH0057 CBEA0239 MATH0140 ENGN0367 PHYS0132 BUSN0074 CHEM0217
Logan Davis,u0000060,MGMT0181 COMP0234 BUSN0227 ENGN0055 CHEM0369 ENGN0436 ENGN0085 HIST0481 HIST0360 BUSN0291 CHEM0317
Leah Williams,u0000061,ENGN0060 COMP0320 COMP0136 MGMT0107 ENGN0399 LAWS0341 ENGN0419 COMP0047 ENGN0223 MATH0288
Hadley Miller,u0000062,BIOL0247 CHEM0248 COMP0320 COMP0356 HIST0406 MGMT0215 CHEM0207 BIOL0114 HIST0012 COMP0392 LAWS0444 PHYS0132 MGMT0014 LAWS0226
Ellie Smith,u0000063,CBEA0293 HIST0158 HIST0126 MATH0422 CHEM0319 LAWS0009 COMP0003 ENGN0399 BUSN0166 BUSN0066 ENGN0054 CBEA0282 BIOL0338 PHYS0213 MATH0354 BUSN0191
Athena Johnson,u0000064,MGMT0198 ENGN0192 COMP0320 HIST0126 MATH0087 MGMT0061 PHYS0292 COMP0352 CBEA0417 CHEM0487 PHYS0279
Celeste Miller,u0000065,CHEM0350 PHYS0499 CBEA0201 CBEA0162 CHEM0080 BUSN0122 BIOL0196 PHYS0001 CHEM0046 CHEM0222 CBEA0417 CHEM0469 BUSN0339 MGMT0362 MATH0412 MATH0150 PHYS0148 BUSN0380
Liliana Williams,u0000066,MGMT0198 MATH0022 LAWS0094 CHEM0319 CHEM0207 MATH0357 LAWS0393 CBEA0239 CHEM0312 CBEA0307 CBEA0103
Grace Davis,u0000067,MGMT0155 MATH0429 BUSN0299 COMP0409 BUSN0454 MATH0023 CBEA0417 PHYS0271 CBEA0331 BUSN0273
Eliza Smith,u0000068,CBEA0017 HIST0078 ENGN0439 MATH0461 CHEM0207 CHEM0080 HIST0355 LAWS0444 CBEA0316 MATH0164
Ashley Wilson,u0000069,COMP0352 PHYS0090 CHEM0141 HIST0158 MATH0212 COMP0460 CBEA0200 PHYS0314 ENGN0050 COMP0478 PHYS0028 CHEM0206 ENGN0223 COMP0187 MGMT0125
Jade Williams,u0000070,MATH0429 BIOL0034 ENGN0436 LAWS0081 MATH0210 BIOL0114 COMP0249 COMP0347 MGMT0236 CHEM0116 CHEM0133 ENGN0344 MGMT0125
Jasmine Martinez,u0000071,COMP0203 ENGN0266 ENGN0275 COMP0479 CHEM0046 LAWS0254 LAWS0393 MGMT0281 MGMT0014 HIST0176 CBEA0142
Anastasia Wilson,u0000072,CBEA0018 ENGN0072 BIOL0019 MGMT0155 LAWS0202 PHYS0292 COMP0352 MATH0361 MATH0461 COMP0347 MGMT0453 LAWS0228 MATH0057 MATH0029 ENGN0138 HIST0311 CBEA0118
Lucy Martinez,u0000073,MGMT0198 BIOL0019 HIST0449 ENGN0455 BUSN0166 CBEA0018 ENGN0327 MATH0412 COMP0496 MGMT0332 ENGN0185 CBEA0231 ENGN0093 HIST0311 MATH0059 CBEA0257 BIOL0475 PHYS0006 MATH0298 MATH0069
Natalie Rodriguez,u0000074,MATH0258 BIOL0089 MGMT0198 CBEA0423 CBEA0201 ENGN0010 CBEA0162 MATH0342 BIOL0305 MGMT0281 MATH0150 BUSN0101 CHEM0025 ENGN0173 CHEM0321
Jade Johnson,u0000075,CBEA0416 BIOL0016 MATH0087 COMP0136 CBEA0162 MGMT0453 ENGN0054 CHEM0206 MGMT0209 CHEM0433 ENGN0230 COMP0474 CBEA0331 LAWS0226 MGMT0232
Daisy Jones,u0000076,CBEA0018 BIOL0019 CBEA0201 ENGN0185 MATH0461 BIOL0082 MGMT0120 BIOL0196 COMP0249 BUSN0273 CHEM0133 BIOL0172 MGMT0125 LAWS0254
Melody Moore,u0000077,COMP0343 MATH0473 BIOL0096 ENGN0419 MGMT0281 ENGN0344 BIOL0219 PHYS0446 PHYS0213 CHEM0325 PHYS0279
Aubrey Brown,u0000078,CBEA0162 HIST0334 COMP0347 ENGN0377 LAWS0457 MATH0450 PHYS0495 BIOL0305 PHYS0160 CHEM0389 MGMT0296 HIST0485 LAWS0144 BIOL0214 COMP0249 LAWS0143 PHYS0271 ENGN0329 BUSN0260 CBEA0294 BUSN0273
Clara Moore,u0000079,CHEM0350 CHEM0480 HIST0406 MGMT0120 COMP0290 BUSN0166 PHYS0006 BUSN0291 CBEA0417 CHEM0402 BUSN0101 CHEM0130 COMP0105 CBEA0118 CBEA0102
Aaliyah Smith,u0000080,CBEA0340 MGMT0024 MGMT0061 MGMT0274 ENGN0272 MATH0156 LAWS0117 PHYS0303 COMP0479 ENGN0418 COMP0290 HIST0355 BUSN0497 CBEA0307 PHYS0466
Caroline Brown,u0000081,MGMT0155 CHEM0349 COMP0352 CHEM0036 LAWS0100 LAWS0144 MATH0370 HIST0189 LAWS0451 COMP0348 PHYS0132 CBEA0169 CHEM0025 BUSN0191 CBEA0142
Rylee Brown,u0000082,ENGN0379 BIOL0073 ENGN0185 COMP0460 CHEM0207 BUSN0208 MGMT0453 BUSN0098 CHEM0312 CHEM0238 COMP0129 CBEA0048 LAWS0218 PHYS0410 HIST0176 HIST0382
Anna Davis,u0000083,MGMT0181 MGMT0233 LAWS0063 CHEM0472 BIOL0096 MATH0280 MGMT0044 ENGN0134 CHEM0056 ENGN0230 CHEM0025 BUSN0456
London Wilson,u0000084,COMP0249 MGMT0468 COMP0478 MATH0023 COMP0108 BUSN0066 COMP0151
Katherine Johnson,u0000085,CHEM0084 LAWS0063 BUSN0318 BUSN0396 ENGN0010 BUSN0208 LAWS0228 HIST0237 MATH0051 ENGN0351 CHEM0133 BUSN0146 PHYS0132 CBEA0307 COMP0187 MGMT0302
Arianna Garcia,u0000086,ENGN0060 MATH0149 PHYS0295 ENGN0104 BUSN0407 COMP0067 CHEM0443
Skylar Miller,u0000087,ENGN0060 PHYS0363 MGMT0358 CHEM0036 BIOL0401 ENGN0050 MATH0280 LAWS0026 HIST0237 ENGN0399 LAWS0457 CBEA0471 CBEA0048 BIOL0250
Nora Garcia,u0000088,COMP0092 CHEM0112 LAWS0063 HIST0413 LAWS0081 BIOL0214 MATH0210 ENGN0436 MGMT0420 COMP0249 HIST0070 ENGN0387 BIOL0115 LAWS0254
Ruby Martinez,u0000089,MGMT0322 MGMT0198 CHEM0269 PHYS0137 MATH0473 BIOL0214 ENGN0104 BUSN0240 BUSN0407 CBEA0417 ENGN0387 CHEM0312 MATH0059
Bella Taylor,u0000090,BUSN0205 COMP0092 BIOL0463 CHEM0222 COMP0235 LAWS0457 BUSN0166 ENGN0309 CHEM0462 ENGN0445 CBEA0424 ENGN0135 CBEA0102 BIOL0034 PHYS0137 HIST0158 BUSN0384 ENGN0399 CHEM0312 CBEA0316 MATH0079
Lucy Jones,u0000091,HIST0334 ENGN0004 MATH0053 CHEM0046 CBEA0294 BUSN0240 PHYS0251 LAWS0381 MGMT0281 COMP0047 CBEA0471 MATH0178 PHYS0132 CBEA0169 COMP0106
Isabella Jones,u0000092,CHEM0350 ENGN0327 BUSN0277 BUSN0064 PHYS0137 CHEM0394 HIST0449 BIOL0088 COMP0479 HIST0430 HIST0237 CHEM0206 ENGN0223 HIST0128 PHYS0246 BIOL0265 BUSN0074 MATH0079
Andrea Martinez,u0000093,CHEM0350 BIOL0016 ENGN0436 BIOL0196 MATH0280 LAWS0095 BIOL0438 CBEA0239 MGMT0281 ENGN0134 BIOL0115 ENGN0344 CBEA0241 BIOL0073 CHEM0371 PHYS0213
Katherine Davis,u0000094,MATH0032 COMP0203 MATH0020 MATH0361 ENGN0379 MATH0022 LAWS0144 BIOL0214 CHEM0394 MGMT0296 COMP0409 LAWS0095 PHYS0028 COMP0290 COMP0067 CHEM0317 BIOL0265 CBEA0118
Eliana Wilson,u0000095,MGMT0024 CBEA0293 CBEA0201 LAWS0081 MGMT0215 CHEM0037 BIOL0196 MATH0210 MATH0280 COMP0347 MGMT0468 MATH0412 CBEA0424 CBEA0048 MATH0068 LAWS0226 CBEA0416
Elizabeth Garcia,u0000096,ENGN0192 CHEM0349 PHYS0363 CHEM0080 ENGN0377 BIOL0438 CBEA0239 BUSN0163 CBEA0282 PHYS0398 CHEM0321
Alexandra Rodriguez,u0000097,LAWS0465 HIST0012 CBEA0294 HIST0177 MATH0357 CBEA0239 PHYS0446 COMP0187
Addison Johnson,u0000098,LAWS0063 PHYS0027 PHYS0261 ENGN0085 LAWS0333 MGMT0120 HIST0253 HIST0177 MATH0023 BUSN0058 COMP0170 BUSN0195 MATH0140 CHEM0312 CHEM0130
Melody Miller,u0000099,MGMT0322 ENGN0445 MATH0087 CHEM0317 MATH0370 CHEM0467 PHYS0495 ENGN0387 CBEA0040 MGMT0484 HIST0498 BIOL0172 MATH0150 CHEM0025 MATH0278 MATH0068 LAWS0226
Faith Garcia,u0000100,MATH0053 BUSN0407 MGMT0484 CBEA0424 BUSN0191 ENGN0435 COMP0106 CHEM0477 MATH0032 COMP0352 PHYS0276 BUSN0066 COMP0105 LAWS0254 MGMT0274 BUSN0339 HIST0128 HIST0243 BIOL0283 LAWS0228
Penelope Wilson,u0000101,CHEM0248 BUSN0277 COMP0356 BUSN0304 BIOL0168 ENGN0399 ENGN0104 ENGN0351 CHEM0116 CHEM0325
Mary Davis,u0000102,MATH0429 LAWS0063 PHYS0499 PHYS0314 MATH0370 BIOL0283 PHYS0028 PHYS0383 HIST0243 COMP0392 CBEA0040 CHEM0238 PHYS0148 CHEM0130 COMP0320 CHEM0321 ENGN0329
Hailey Martinez,u0000103,BUSN0205 HIST0041 COMP0479 ENGN0328 BIOL0265 MATH0308 COMP0343 PHYS0090 BIOL0052 COMP0229 CBEA0048 PHYS0410 CHEM0133 PHYS0213 HIST0126 MGMT0215 ENGN0351 COMP0494 MGMT0281
Jasmine Brown,u0000104,HIST0334 CHEM0080 HIST0177 LAWS0457 CBEA0262 LAWS0049 BIOL0305 CHEM0035 BUSN0240 HIST0176 CHEM0248 LAWS0063 PHYS0137 MGMT0358 BUSN0384 BUSN0335 HIST0243 HIST0188 COMP0136 PHYS0028 MGMT0284
Amaya Jones,u0000105,MATH0429 MATH0032 LAWS0171 CHEM0222 BUSN0366 CBEA0262 COMP0494 BUSN0043 MATH0491 MATH0079
Ivy Jones,u0000106,MGMT0181 ENGN0313 MATH0212 MATH0023 LAWS0451 ENGN0134 CHEM0056 BIOL0250 LAWS0427
Amaya Wilson,u0000107,MGMT0183 MGMT0024 BUSN0064 CBEA0245 CHEM0269 PHYS0292 CBEA0293 HIST0041 ENGN0275 PHYS0295 MGMT0358 COMP0478 CHEM0056 CHEM0025 PHYS0279
Taylor Garcia,u0000108,MGMT0024 HIST0041 MATH0342 PHYS0132 BIOL0305 BUSN0191 BUSN0277 BIOL0082 COMP0483 LAWS0264 CBEA0038 ENGN0470 BIOL0286 LAWS0226 HIST0253 CBEA0294 BUSN0163 MGMT0281 COMP0494 ENGN0173
Andrea Jones,u0000109,CHEM0036 CHEM0013 BIOL0114 HIST0414 HIST0070 CBEA0307 CBEA0048 HIST0174 CHEM0437 CHEM0467
Hayden Garcia,u0000110,MGMT0181 BIOL0247 CHEM0480 CHEM0207 MATH0053 MGMT0159 HIST0121 HIST0243 CBEA0231 CHEM0375 LAWS0421 PHYS0446 ENGN0093 ENGN0173 CBEA0316
Natalia Johnson,u0000111,MGMT0358 MATH0212 LAWS0397 HIST0413 BUSN0304 PHYS0395 CHEM0046 COMP0478 MATH0373 CBEA0287 BUSN0195 MATH0450 CBEA0231 MGMT0476 ENGN0445
Natalie Rodriguez,u0000112,PHYS0279 COMP0343 BIOL0401 COMP0496 ENGN0085 CBEA0200 PHYS0295 CHEM0056 MATH0150 PHYS0246 CBEA0169 CBEA0118 MATH0059
Cora Jones,u0000113,MATH0429 CHEM0013 CBEA0011 COMP0003 MATH0357 COMP0474 MGMT0281 ENGN0054 ENGN0134 MATH0178 LAWS0075 BUSN0374 LAWS0444 COMP0494 MATH0354 CBEA0316 CHEM0467
Anastasia Moore,u0000114,COMP0234 MGMT0024 COMP0203 BUSN0277 ENGN0436 HIST0449 PHYS0015 MGMT0345 COMP0170 CHEM0371 CHEM0462 HIST0404
Olivia Brown,u0000115,CBEA0018 MATH0429 CBEA0293 COMP0493 ENGN0185 HIST0216 CHEM0433 CHEM0462 ENGN0093 HIST0243
Ella Moore,u0000116,MGMT0183 CBEA0245 BIOL0127 BIOL0315 MATH0149 CBEA0162 LAWS0117 ENGN0152 BIOL0168 PHYS0211 MGMT0281 BUSN0339 BIOL0073 MGMT0125
Logan Moore,u0000117,MGMT0198 PHYS0363 BIOL0168 CHEM0222 PHYS0276 BUSN0400 BUSN0407 BUSN0497 COMP0151 MATH0029 MATH0450 CHEM0462 COMP0474 CHEM0130 PHYS0160 LAWS0226
Bailey Williams,u0000118,COMP0234 HIST0256 CBEA0201 CHEM0405 BIOL0268 LAWS0009 COMP0483 MATH0029 MGMT0014 CHEM0312 CBEA0307 BIOL0250 MATH0298
Aria Williams,u0000119,MGMT0181 PHYS0113 MGMT0024 HIST0041 MATH0280 BUSN0366 HIST0355 BUSN0098 MATH0161 PHYS0368 PHYS0446 COMP0242 CBEA0424
Samantha Rodriguez,u0000120,ENGN0060 BIOL0089 ENGN0135 PHYS0137 HIST0126 LAWS0167 HIST0188 HIST0406 CHEM0389 BIOL0475 CHEM0325 ENGN0387 CHEM0133 CHEM0206 BUSN0008 HIST0263 MATH0059
Everly Rodriguez,u0000121,CHEM0269 ENGN0436 BIOL0214 MGMT0215 ENGN0275 PHYS0295 COMP0409 BUSN0098 MATH0140 BUSN0193 BIOL0073 MATH0150
Emily Taylor,u0000122,MGMT0155 PHYS0113 PHYS0330 CHEM0037 HIST0482 BUSN0366 CBEA0186 LAWS0381 COMP0147 COMP0348 PHYS0446 COMP0179 BUSN0008 CBEA0316
Isabella Johnson,u0000123,MGMT0198 MGMT0233 BIOL0005 LAWS0063 MATH0212 CHEM0480 PHYS0337 MATH0298 CHEM0443 ENGN0351 BUSN0240 LAWS0393 PHYS0398 BIOL0073 LAWS0154 MATH0068 CBEA0118 COMP0106
Arielle Jones,u0000124,HIST0413 BIOL0196 BIOL0475 CBEA0424 COMP0483 MGMT0044 MATH0029 CBEA0282 COMP0067 BUSN0008 BIOL0265 CBEA0416
Stella Johnson,u0000125,BUSN0205 COMP0343 MGMT0358 BIOL0175 MATH0087 LAWS0386 BUSN0101 CHEM0080 ENGN0275 COMP0229 PHYS0398 MATH0150
Lily Jones,u0000126,MGMT0007 LAWS0144 MATH0370 CHEM0013 CHEM0443 CBEA0316 CBEA0239 COMP0483 PHYS0398 BUSN0008 BUSN0031 MATH0002 MGMT0232
